peasant;35;0.018240567021054827%
whole;35;0.018240567021054827%
pines;35;0.018240567021054827%
soon;35;0.018240567021054827%
dust;35;0.018240567021054827%
camp;35;0.018240567021054827%
most;35;0.018240567021054827%
rose;34;0.017719407963310403%
use;34;0.017719407963310403%
walking;34;0.017719407963310403%
Or;34;0.017719407963310403%
yes;34;0.017719407963310403%
timber;34;0.017719407963310403%
matter;34;0.017719407963310403%
brother;34;0.017719407963310403%
obscenity;34;0.017719407963310403%
Those;34;0.017719407963310403%
hills;34;0.017719407963310403%
live;34;0.017719407963310403%
years;34;0.017719407963310403%
carried;34;0.017719407963310403%
lying;33;0.01719824890556598%
stay;33;0.01719824890556598%
outside;33;0.01719824890556598%
troops;33;0.01719824890556598%
course;33;0.01719824890556598%
early;33;0.01719824890556598%
shouting;33;0.01719824890556598%
afraid;33;0.01719824890556598%
clearly;33;0.01719824890556598%
show;33;0.01719824890556598%
earth;33;0.01719824890556598%
lie;33;0.01719824890556598%
swung;33;0.01719824890556598%
five;33;0.01719824890556598%
Spain;32;0.016677089847821555%
lost;32;0.016677089847821555%
year;32;0.016677089847821555%
foot;32;0.016677089847821555%
tonight;32;0.016677089847821555%
army;32;0.016677089847821555%
happy;32;0.016677089847821555%
square;32;0.016677089847821555%
dispatch;32;0.016677089847821555%
killing;32;0.016677089847821555%
chest;32;0.016677089847821555%
past;32;0.016677089847821555%
suppose;32;0.016677089847821555%
problem;32;0.016677089847821555%
slowly;32;0.016677089847821555%
rope;31;0.01615593079007713%
maquina;31;0.01615593079007713%
wet;31;0.01615593079007713%
win;31;0.01615593079007713%
send;31;0.01615593079007713%
chair;31;0.01615593079007713%
mean;31;0.01615593079007713%
certainly;31;0.01615593079007713%
ones;31;0.01615593079007713%
making;31;0.01615593079007713%
wounded;31;0.01615593079007713%
Also;31;0.01615593079007713%
yellow;31;0.01615593079007713%
battle;31;0.01615593079007713%
deep;31;0.01615593079007713%
makes;31;0.01615593079007713%
shooting;30;0.015634771732332707%
turn;30;0.015634771732332707%
house;30;0.015634771732332707%
soldier;30;0.015634771732332707%
white;30;0.015634771732332707%
opened;30;0.015634771732332707%
From;30;0.015634771732332707%
blowing;30;0.015634771732332707%
gave;30;0.015634771732332707%
drunkard;30;0.015634771732332707%
touch;30;0.015634771732332707%
broken;30;0.015634771732332707%
shut;30;0.015634771732332707%
rest;30;0.015634771732332707%
Never;30;0.015634771732332707%
Give;30;0.015634771732332707%
quiet;30;0.015634771732332707%
crazy;30;0.015634771732332707%
fingers;30;0.015634771732332707%
packs;30;0.015634771732332707%
air;30;0.015634771732332707%
set;30;0.015634771732332707%
straight;29;0.015113612674588285%
Guillermo;29;0.015113612674588285%
order;29;0.015113612674588285%
probably;29;0.015113612674588285%
trucks;29;0.015113612674588285%
known;29;0.015113612674588285%
climbed;29;0.015113612674588285%
dirt;29;0.015113612674588285%
bent;29;0.015113612674588285%
